Gene name	Synonym	Accession number	Functional category	Description
cdh	<I>Rv2289</I>	Rv2289	1	Probable CDP-diacylglycerol pyrophosphatase Cdh (CDP-diacylglycerol diphosphatase) (CDP-diacylglycerol phosphatidylhydrolase)
cdsA	<I>Rv2881c</I>	Rv2881c	1	PROBABLE INTEGRAL MEMBRANE PHOSPHATIDATE CYTIDYLYLTRANSFERASE CDSA (CDP-DIGLYCERIDE SYNTHETASE) (CDP-DIGLYCERIDE PYROPHOSPHORYLASE) (CDP-DIACYLGLYCEROL SYNTHASE) (CDS) (CTP:PHOSPHATIDATE CYTIDYLYLTRANSFERASE) (CDP-DAG SYNTHASE) (CDP-DG SYNTHETASE)
choD	<I>Rv3409c</I>	Rv3409c	1	CHOLESTEROL OXIDASE CHOD (CHOLESTEROL-O2 OXIDOREDUCTASE)
cmaA1	<I>Rv3392c</I>	Rv3392c	1	CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE 1 CMAA1 (CYCLOPROPANE FATTY ACID SYNTHASE) (CFA SYNTHASE) (CYCLOPROPANE MYCOLIC ACID SYNTHASE 1)
cmaA2	<I>cma2</I>, <I>Rv0503c</I>	Rv0503c	1	CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE 2 CMAA2 (CYCLOPROPANE FATTY ACID SYNTHASE) (CFA SYNTHASE) (CYCLOPROPANE MYCOLIC ACID SYNTHASE 2) (MYCOLIC ACID TRANS-CYCLOPROPANE SYNTHETASE)
desA1	<I>des</I>, <I>Rv0824c</I>	Rv0824c	1	PROBABLE ACYL-[ACYL-CARRIER PROTEIN] DESATURASE DESA1 (ACYL-[ACP] DESATURASE) (STEAROYL-ACP DESATURASE) (PROTEIN DES)
desA2	<I>Rv1094</I>	Rv1094	1	POSSIBLE ACYL-[ACYL-CARRIER PROTEIN] DESATURASE DESA2 (ACYL-[ACP] DESATURASE) (STEAROYL-ACP DESATURASE)
desA3	<I>Rv3229c</I>	Rv3229c	1	POSSIBLE LINOLEOYL-CoA DESATURASE (DELTA(6)-DESATURASE)
echA1	<I>Rv0222</I>	Rv0222	1	PROBABLE ENOYL-CoA HYDRATASE ECHA1 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA10	<I>Rv1142c</I>	Rv1142c	1	PROBABLE ENOYL-CoA HYDRATASE ECHA10 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA11	<I>Rv1141c</I>	Rv1141c	1	PROBABLE ENOYL-CoA HYDRATASE ECHA11 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA12	<I>Rv1472</I>	Rv1472	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA12 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA13	<I>Rv1935c</I>	Rv1935c	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA13 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA14	<I>Rv2486</I>	Rv2486	1	PROBABLE ENOYL-CoA HYDRATASE ECHA14 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA15	<I>Rv2679</I>	Rv2679	1	PROBABLE ENOYL-CoA HYDRATASE ECHA15 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA16	<I>Rv2831</I>	Rv2831	1	PROBABLE ENOYL-CoA HYDRATASE ECHA16 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA17	<I>Rv3039c</I>	Rv3039c	1	PROBABLE ENOYL-CoA HYDRATASE ECHA17 (CROTONASE) (UNSATURED ACYL-CoA HYDRATASE) (ENOYL HYDRASE)
echA18	<I>Rv3373</I>	Rv3373	1	PROBABLE ENOYL-CoA HYDRATASE ECHA18 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA18.1	<I>echA18'</I>, <I>Rv3374</I>	Rv3374	1	PROBABLE ENOYL-CoA HYDRATASE (FRAGMENT) ECHA18.1 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA19	<I>Rv3516</I>	Rv3516	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA19 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA2	<I>Rv0456c</I>	Rv0456c	1	ENOYL-CoA HYDRATASE ECHA2 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA20	<I>Rv3550</I>	Rv3550	1	PROBABLE ENOYL-CoA HYDRATASE ECHA20 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA21	<I>Rv3774</I>	Rv3774	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA21 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA3	<I>Rv0632c</I>	Rv0632c	1	PROBABLE ENOYL-CoA HYDRATASE ECHA3 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA4	<I>Rv0673</I>	Rv0673	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA4 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA5	<I>Rv0675</I>	Rv0675	1	PROBABLE ENOYL-CoA HYDRATASE ECHA5 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA6	<I>Rv0905</I>	Rv0905	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA6 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA7	<I>Rv0971c</I>	Rv0971c	1	PROBABLE ENOYL-CoA HYDRATASE ECHA7 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA8	<I>Rv1070c</I>	Rv1070c	1	PROBABLE ENOYL-CoA HYDRATASE ECHA8 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
echA9	<I>Rv1071c</I>	Rv1071c	1	POSSIBLE ENOYL-CoA HYDRATASE ECHA9 (ENOYL HYDRASE) (UNSATURATED ACYL-CoA HYDRATASE) (CROTONASE)
erg3	<I>Rv1814</I>	Rv1814	1	MEMBRANE-BOUND C-5 STEROL DESATURASE ERG3 (STEROL-C5-DESATURASE)
fabD	<I>mtFabD</I>, <I>Rv2243</I>	Rv2243	1	MALONYL CoA-ACYL CARRIER PROTEIN TRANSACYLASE FABD (Malonyl CoA:AcpM acyltransferase) (MCT)
fabD2	<I>Rv0649</I>	Rv0649	1	POSSIBLE MALONYL COA-ACYL CARRIER PROTEIN TRANSACYLASE FABD2 (MCT)
fabG1	<I>mabA</I>, <I>Rv1483</I>	Rv1483	1	3-OXOACYL-[ACYL-CARRIER PROTEIN] REDUCTASE FABG1 (3-KETOACYL-ACYL CARRIER PROTEIN REDUCTASE) (MYCOLIC ACID BIOSYNTHESIS A PROTEIN)
fabG2	<I>Rv1350</I>	Rv1350	1	PROBABLE 3-OXOACYL-[ACYL-CARRIER PROTEIN] REDUCTASE FABG2 (3-KETOACYL-ACYL CARRIER PROTEIN REDUCTASE)
fabG3	<I>Rv2002</I>	Rv2002	1	POSSIBLE 20-BETA-HYDROXYSTEROID DEHYDROGENASE FABG3 (Cortisone reductase) ((R)-20-hydroxysteroid dehydrogenase)
fabG4	<I>Rv0242c</I>	Rv0242c	1	PROBABLE 3-OXOACYL-[ACYL-CARRIER PROTEIN] REDUCTASE FABG4 (3-KETOACYL-ACYL CARRIER PROTEIN REDUCTASE)
fabH	<I>mtFabH</I>, <I>Rv0533c</I>	Rv0533c	1	3-OXOACYL-[ACYL-CARRIER-PROTEIN] SYNTHASE III FABH (BETA-KETOACYL-ACP SYNTHASE III) (KAS III)
fadA	<I>Rv0859</I>	Rv0859	1	POSSIBLE ACYL-CoA THIOLASE FADA
fadA2	<I>Rv0243</I>	Rv0243	1	PROBABLE ACETYL-CoA ACYLTRANSFERASE FADA2 (3-KETOACYL-CoA THIOLASE) (BETA-KETOTHIOLASE)
fadA3	<I>Rv1074c</I>	Rv1074c	1	PROBABLE BETA-KETOACYL CoA THIOLASE FADA3
fadA4	<I>Rv1323</I>	Rv1323	1	PROBABLE ACETYL-CoA ACETYLTRANSFERASE FADA4 (ACETOACETYL-CoA THIOLASE)
fadA5	<I>Rv3546</I>	Rv3546	1	PROBABLE ACETYL-CoA ACETYLTRANSFERASE FADA5 (ACETOACETYL-CoA THIOLASE)
fadA6	<I>Rv3556c</I>	Rv3556c	1	PROBABLE ACETYL-CoA ACETYLTRANSFERASE FADA6 (ACETOACETYL-CoA THIOLASE)
fadB	<I>Rv0860</I>	Rv0860	1	PROBABLE FATTY OXIDATION PROTEIN FADB
fadB2	<I>Rv0468</I>	Rv0468	1	PROBABLE 3-HYDROXYBUTYRYL-CoA DEHYDROGENASE FADB2 (BETA-HYDROXYBUTYRYL-CoA DEHYDROGENASE) (BHBD)
fadB3	<I>Rv1715</I>	Rv1715	1	PROBABLE 3-HYDROXYBUTYRYL-CoA DEHYDROGENASE FADB3 (BETA-HYDROXYBUTYRYL-CoA DEHYDROGENASE) (BHBD)
fadB4	<I>Rv3141</I>	Rv3141	1	PROBABLE NADPH QUINONE OXIDOREDUCTASE FADB4 (NADPH:QUINONE REDUCTASE) (ZETA-CRYSTALLIN)
fadB5	<I>Rv1912c</I>	Rv1912c	1	POSSIBLE OXIDOREDUCTASE FADB5
fadD1	<I>Rv1750c</I>	Rv1750c	1	POSSIBLE FATTY-ACID-CoA LIGASE FADD1 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD10	<I>Rv0099</I>	Rv0099	1	POSSIBLE FATTY-ACID-CoA LIGASE FADD10 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD11	<I>Rv1550</I>	Rv1550	1	PROBABLE FATTY-ACID-CoA LIGASE FADD11 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD11.1	<I>fadD11'</I>, <I>Rv1549</I>	Rv1549	1	POSSIBLE FATTY-ACID-CoA LIGASE FADD11.1 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD12	<I>Rv1427c</I>	Rv1427c	1	POSSIBLE LONG-CHAIN-FATTY-ACID--CoA LIGASE FADD12 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
fadD13	<I>Rv3089</I>	Rv3089	1	PROBABLE CHAIN -FATTY-ACID-CoA LIGASE FADD13 (FATTY-ACYL-CoA SYNTHETASE)
fadD14	<I>Rv1058</I>	Rv1058	1	PROBABLE MEDIUM CHAIN FATTY-ACID-CoA LIGASE FADD14 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-COA SYNTHASE)
fadD15	<I>Rv2187</I>	Rv2187	1	Probable long-chain-fatty-acid-CoA ligase fadD15 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD16	<I>Rv0852</I>	Rv0852	1	POSSIBLE FATTY-ACID-CoA LIGASE FADD16 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD17	<I>Rv3506</I>	Rv3506	1	POSSIBLE FATTY-ACID-CoA SYNTHETASE FADD17 (FATTY-ACID-CoA SYNTHASE) (FATTY-ACID-CoA LIGASE)
fadD18	<I>Rv3513c</I>	Rv3513c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD18 (FRAGMENT) (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD19	<I>Rv3515c</I>	Rv3515c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD19 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD2	<I>Rv0270</I>	Rv0270	1	PROBABLE FATTY-ACID-CoA LIGASE FADD2 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD21	<I>Rv1185c</I>	Rv1185c	1	PROBABLE FATTY-ACID--CoA LIGASE FADD21 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD22	<I>Rv2948c</I>	Rv2948c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD22 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD23	<I>Rv3826</I>	Rv3826	1	PROBABLE FATTY-ACID-CoA LIGASE FADD23 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD24	<I>Rv1529</I>	Rv1529	1	PROBABLE FATTY-ACID-CoA LIGASE FADD24 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD25	<I>Rv1521</I>	Rv1521	1	PROBABLE FATTY-ACID-CoA LIGASE FADD25 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD26	<I>Rv2930</I>	Rv2930	1	FATTY-ACID-CoA LIGASE FADD26 (FATTY-ACID-COA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD28	<I>acoas</I>, <I>Rv2941</I>	Rv2941	1	FATTY-ACID-CoA LIGASE FADD28 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD29	<I>Rv2950c</I>	Rv2950c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD29 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD3	<I>Rv3561</I>	Rv3561	1	PROBABLE FATTY-ACID-CoA LIGASE FADD3 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD30	<I>Rv0404</I>	Rv0404	1	PROBABLE FATTY-ACID-CoA LIGASE FADD30 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD31	<I>Rv1925</I>	Rv1925	1	PROBABLE ACYL-CoA LIGASE FADD31 (ACYL-COA SYNTHETASE) (ACYL-CoA SYNTHASE)
fadD32	<I>Rv3801c</I>	Rv3801c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD32 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE
fadD33	<I>Rv1345</I>	Rv1345	1	POSSIBLE POLYKETIDE SYNTHASE FADD33
fadD34	<I>Rv0035</I>	Rv0035	1	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD35	<I>Rv2505c</I>	Rv2505c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD35 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD36	<I>Rv1193</I>	Rv1193	1	PROBABLE FATTY-ACID-CoA LIGASE FADD36 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD4	<I>Rv0214</I>	Rv0214	1	PROBABLE FATTY-ACID-CoA LIGASE FADD4 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD5	<I>Rv0166</I>	Rv0166	1	PROBABLE FATTY-ACID-CoA LIGASE FADD5 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD6	<I>Rv1206</I>	Rv1206	1	PROBABLE FATTY-ACID-CoA LIGASE FADD6 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD7	<I>Rv0119</I>	Rv0119	1	PROBABLE FATTY-ACID-CoA LIGASE FADD7 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD8	<I>Rv0551c</I>	Rv0551c	1	PROBABLE FATTY-ACID-CoA LIGASE FADD8 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadD9	<I>Rv2590</I>	Rv2590	1	PROBABLE FATTY-ACID-CoA LIGASE FADD9 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE)
fadE1	<I>Rv0131c</I>	Rv0131c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1
fadE10	<I>Rv0873</I>	Rv0873	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE10
fadE12	<I>Rv0972c</I>	Rv0972c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE12
fadE13	<I>Rv0975c</I>	Rv0975c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE13
fadE14	<I>Rv1346</I>	Rv1346	1	POSSIBLE ACYL-CoA DEHYDROGENASE FADE14
fadE15	<I>Rv1467c</I>	Rv1467c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE15
fadE16	<I>Rv1679</I>	Rv1679	1	POSSIBLE ACYL-CoA DEHYDROGENASE FADE16
fadE17	<I>Rv1934c</I>	Rv1934c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE17
fadE18	<I>Rv1933c</I>	Rv1933c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE18
fadE19	<I>mmgC</I>, <I>Rv2500c</I>	Rv2500c	1	POSSIBLE ACYL-CoA DEHYDROGENASE FADE19 (MMGC)
fadE2	<I>Rv0154c</I>	Rv0154c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE2
fadE20	<I>Rv2724c</I>	Rv2724c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE20
fadE21	<I>Rv2789c</I>	Rv2789c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE21
fadE22	<I>Rv3061c</I>	Rv3061c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE22
fadE23	<I>Rv3140</I>	Rv3140	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE23
fadE24	<I>Rv3139</I>	Rv3139	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE24
fadE25	<I>Rv3274c</I>	Rv3274c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE25
fadE26	<I>Rv3504</I>	Rv3504	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE26
fadE27	<I>Rv3505</I>	Rv3505	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE27
fadE28	<I>Rv3544c</I>	Rv3544c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE28
fadE29	<I>Rv3543c</I>	Rv3543c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE29
fadE3	<I>Rv0215c</I>	Rv0215c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE3
fadE30	<I>Rv3560c</I>	Rv3560c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE30
fadE31	<I>Rv3562</I>	Rv3562	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE31
fadE32	<I>Rv3563</I>	Rv3563	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE32
fadE33	<I>Rv3564</I>	Rv3564	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE33
fadE34	<I>Rv3573c</I>	Rv3573c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE34
fadE35	<I>Rv3797</I>	Rv3797	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE35
fadE36	<I>Rv3761c</I>	Rv3761c	1	POSSIBLE ACYL-CoA DEHYDROGENASE FADE36
fadE4	<I>Rv0231</I>	Rv0231	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE4
fadE5	<I>Rv0244c</I>	Rv0244c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE5
fadE6	<I>Rv0271c</I>	Rv0271c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE6
fadE7	<I>Rv0400c</I>	Rv0400c	1	ACYL-CoA DEHYDROGENASE FADE7
fadE8	<I>Rv0672</I>	Rv0672	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE8
fadE9	<I>Rv0752c</I>	Rv0752c	1	PROBABLE ACYL-CoA DEHYDROGENASE FADE9
fadH	<I>Rv1175c</I>	Rv1175c	1	PROBABLE NADPH DEPENDENT 2,4-DIENOYL-COA REDUCTASE FADH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase)
far	<I>Rv0855</I>	Rv0855	1	PROBABLE FATTY-ACID-CoA RACEMASE FAR
fas	<I>Rv2524c</I>	Rv2524c	1	PROBABLE FATTY ACID SYNTHASE FAS (FATTY ACID SYNTHETASE)
fbpA	<I>mpt44</I>, <I>85A</I>, <I>Rv3804c</I>	Rv3804c	1	SECRETED ANTIGEN 85-A FBPA (MYCOLYL TRANSFERASE 85A) (FIBRONECTIN-BINDING PROTEIN A) (ANTIGEN 85 COMPLEX A)
fbpB	<I>mpt59</I>, <I>85B</I>, <I>Rv1886c</I>	Rv1886c	1	SECRETED ANTIGEN 85-B FBPB (85B) (ANTIGEN 85 COMPLEX B) (MYCOLYL TRANSFERASE 85B) (FIBRONECTIN-BINDING PROTEIN B) (EXTRACELLULAR ALPHA-ANTIGEN)
fbpC	<I>mpt45</I>, <I>85C</I>, <I>fbpC2</I>, <I>Rv0129c</I>	Rv0129c	1	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C)
fbpD	<I>mpt51</I>, <I>mpb51</I>, <I>fbpC1</I>, <I>Rv3803c</I>	Rv3803c	1	SECRETED MPT51/MPB51 ANTIGEN PROTEIN FBPD (MPT51/MPB51 ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) (85C)
gpdA1	<I>gpsA</I>, <I>glyC</I>, <I>Rv0564c</I>	Rv0564c	1	PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(P)+] GPDA1 (NAD(P)H-DEPENDENT GLYCEROL-3-PHOSPHATE DEHYDROGENASE) (NAD(P)H-DEPENDENT DIHYDROXYACETONE-PHOSPHATE REDUCTASE)
gpdA2	<I>gpsA</I>, <I>Rv2982c</I>	Rv2982c	1	PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(P)+] GPDA2 (NAD(P)H- DEPENDENT GLYCEROL-3-PHOSPHATE DEHYDROGENASE)
idsA1	<I>idsA</I>, <I>Rv3398c</I>	Rv3398c	1	PROBABLE MULTIFUNCTIONAL GERANYLGERANYL PYROPHOSPHATE SYNTHETASE IDSA1 (GGPP SYNTHETASE) (GGPPSASE) (GERANYLGERANYL DIPHOSPHATE SYNTHASE): DIMETHYLALLYLTRANSFERASE (PRENYLTRANSFERASE) (GERANYL-DIPHOSPHATE SYNTHASE) + GERANYLTRANSTRANSFERASE (FARNESYL-DIPHOSPHATE SYNTHASE) (FARNESYL-PYROPHOSPHATE SYNTHETASE) (FARNESYL DIPHOSPHATE SYNTHETASE) (FPP SYNTHETASE) + FARNESYLTRANSTRANSFERASE (GERANYLGERANYL-DIPHOSPHATE SYNTHASE)
idsA2	<I>Rv2173</I>	Rv2173	1	PROBABLE  GERANYLGERANYL PYROPHOSPHATE SYNTHETASE IDSA2 (GGPPSASE) (GGPP SYNTHETASE) (GERANYLGERANYL DIPHOSPHATE SYNTHASE)
idsB	<I>Rv3383c</I>	Rv3383c	1	POSSIBLE POLYPRENYL SYNTHETASE IDSB (POLYPRENYL TRANSFERASE) (POLYPRENYL DIPHOSPHATE SYNTHASE)
inhA	<I>Rv1484</I>	Rv1484	1	NADH-DEPENDENT ENOYL-[ACYL-CARRIER-PROTEIN] REDUCTASE INHA (NADH-DEPENDENT ENOYL-ACP REDUCTASE)
