Gene name	Synonym	Accession number	Location (kb)	Functional category	Description
Rv0141c		Rv0141c	 167.68	10	HYPOTHETICAL PROTEIN
Rv0142		Rv0142	 167.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0145		Rv0145	 171.21	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0146		Rv0146	 172.21	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0150c		Rv0150c	 176.95	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0157A		Rv0157A	 186.62	10	HYPOTHETICAL PROTEIN (FRAGMENT)
Rv0163		Rv0163	 193.12	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0177		Rv0177	 208.42	10	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN
Rv0181c		Rv0181c	 213.01	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0184		Rv0184	 214.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0185		Rv0185	 215.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0190		Rv0190	 221.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0192		Rv0192	 223.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0193c		Rv0193c	 226.57	10	HYPOTHETICAL PROTEIN
Rv0201c		Rv0201c	 238.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0207c		Rv0207c	 248.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0209		Rv0209	 249.04	10	HYPOTHETICAL PROTEIN
Rv0210		Rv0210	 250.12	10	HYPOTHETICAL PROTEIN
Rv0221		Rv0221	 264.07	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv0250c		Rv0250c	 302.03	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0257		Rv0257	 309.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0258c		Rv0258c	 310.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0259c		Rv0259c	 311.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0263c		Rv0263c	 315.77	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0264c		Rv0264c	 316.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0268c		Rv0268c	 323.27	10	HYPOTHETICAL PROTEIN
Rv0269c		Rv0269c	 324.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0272c		Rv0272c	 329.71	10	HYPOTHETICAL PROTEIN
Rv0274		Rv0274	 330.42	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0276		Rv0276	 331.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0281		Rv0281	 341.00	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0282		Rv0282	 342.13	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0289		Rv0289	 352.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0293c		Rv0293c	 358.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0295c		Rv0295c	 359.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0298		Rv0298	 363.25	10	HYPOTHETICAL PROTEIN
Rv0299		Rv0299	 363.48	10	HYPOTHETICAL PROTEIN
Rv0307c		Rv0307c	 377.05	10	HYPOTHETICAL PROTEIN
Rv0310c		Rv0310c	 379.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0311		Rv0311	 379.17	10	HYPOTHETICAL PROTEIN
Rv0312		Rv0312	 380.56	10	CONSERVED HYPOTHETICAL PROLINE AND THREONINE RICH PROTEIN
Rv0313		Rv0313	 382.49	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0323c		Rv0323c	 391.25	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0329c		Rv0329c	 395.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0330c		Rv0330c	 396.09	10	HYPOTHETICAL PROTEIN
Rv0332		Rv0332	 397.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0333		Rv0333	 398.25	10	HYPOTHETICAL PROTEIN
Rv0340		Rv0340	 408.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0345		Rv0345	 415.05	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0349		Rv0349	 418.95	10	HYPOTHETICAL PROTEIN
Rv0356c		Rv0356c	 435.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0358		Rv0358	 436.86	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0360c		Rv0360c	 438.74	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0365c		Rv0365c	 444.20	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0366c		Rv0366c	 444.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0367c		Rv0367c	 445.23	10	HYPOTHETICAL PROTEIN
Rv0368c		Rv0368c	 446.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0371c		Rv0371c	 448.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0372c		Rv0372c	 449.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0376c		Rv0376c	 454.37	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0378		Rv0378	 455.64	10	CONSERVED HYPOTHETICAL GLYCINE RICH PROTEIN
Rv0381c		Rv0381c	 457.82	10	HYPOTHETICAL PROTEIN
Rv0387c		Rv0387c	 467.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0390		Rv0390	 469.59	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0395		Rv0395	 474.94	10	HYPOTHETICAL PROTEIN
Rv0396		Rv0396	 475.35	10	HYPOTHETICAL PROTEIN
Rv0406c		Rv0406c	 490.70	10	BETA LACTAMASE LIKE PROTEIN
Rv0421c		Rv0421c	 507.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0424c		Rv0424c	 510.65	10	HYPOTHETICAL PROTEIN
Rv0428c		Rv0428c	 517.80	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv0430		Rv0430	 518.73	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0433		Rv0433	 520.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0434		Rv0434	 521.51	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0441c		Rv0441c	 530.72	10	HYPOTHETICAL PROTEIN
Rv0443		Rv0443	 532.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0444c		Rv0444c	 533.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0448c		Rv0448c	 537.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0449c		Rv0449c	 538.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0454		Rv0454	 544.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0455c		Rv0455c	 545.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0459		Rv0459	 551.20	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0460		Rv0460	 551.75	10	CONSERVED HYDROPHOBIC PROTEIN
Rv0464c		Rv0464c	 554.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0466		Rv0466	 556.46	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0470A		Rv0470A	 562.29	10	HYPOTHETICAL PROTEIN
Rv0471c		Rv0471c	 562.71	10	HYPOTHETICAL PROTEIN
Rv0481c		Rv0481c	 570.51	10	HYPOTHETICAL PROTEIN
Rv0487		Rv0487	 576.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0492A		Rv0492A	 583.70	10	HYPOTHETICAL PROTEIN
Rv0493c		Rv0493c	 584.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0495c		Rv0495c	 586.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0496		Rv0496	 586.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0498		Rv0498	 588.33	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0499		Rv0499	 589.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0500A		Rv0500A	 591.11	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0500B		Rv0500B	 591.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0502		Rv0502	 592.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0504c		Rv0504c	 595.30	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0508		Rv0508	 600.10	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0516c		Rv0516c	 608.53	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0523c		Rv0523c	 614.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0525		Rv0525	 616.22	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0530		Rv0530	 620.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0540		Rv0540	 632.37	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0543c		Rv0543c	 635.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0546c		Rv0546c	 637.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0552		Rv0552	 642.89	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0566c		Rv0566c	 658.04	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0569		Rv0569	 661.00	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0571c		Rv0571c	 664.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0572c		Rv0572c	 665.38	10	HYPOTHETICAL PROTEIN
Rv0573c		Rv0573c	 667.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0574c		Rv0574c	 668.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0579		Rv0579	 676.24	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0580c		Rv0580c	 677.62	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0597c		Rv0597c	 696.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0607		Rv0607	 702.81	10	HYPOTHETICAL PROTEIN
Rv0609A		Rv0609A	 703.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0610c		Rv0610c	 705.91	10	HYPOTHETICAL PROTEIN
Rv0611c		Rv0611c	 706.34	10	HYPOTHETICAL PROTEIN
Rv0612		Rv0612	 706.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0613c		Rv0613c	 709.52	10	HYPOTHETICAL PROTEIN
Rv0614		Rv0614	 709.36	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0616c		Rv0616c	 710.85	10	HYPOTHETICAL PROTEIN
Rv0628c		Rv0628c	 719.91	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0634A		Rv0634A	 731.11	10	HYPOTHETICAL PROTEIN
Rv0635		Rv0635	 731.93	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0637		Rv0637	 732.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0647c		Rv0647c	 742.62	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0674		Rv0674	 774.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0678		Rv0678	 778.99	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0679c		Rv0679c	 780.04	10	CONSERVED HYPOTHETICAL THREONINE RICH PROTEIN
Rv0689c		Rv0689c	 789.41	10	HYPOTHETICAL PROTEIN
Rv0690c		Rv0690c	 791.07	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0692		Rv0692	 791.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0695		Rv0695	 794.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0698		Rv0698	 798.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0699		Rv0699	 799.63	10	HYPOTHETICAL PROTEIN
Rv0712		Rv0712	 808.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0724A		Rv0724A	 817.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0725c		Rv0725c	 818.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0726c		Rv0726c	 819.64	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0730		Rv0730	 822.87	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv0731c		Rv0731c	 824.64	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0738		Rv0738	 830.06	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0739		Rv0739	 830.85	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0740		Rv0740	 831.78	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0743c		Rv0743c	 834.44	10	HYPOTHETICAL PROTEIN
Rv0745		Rv0745	 835.15	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0749A		Rv0749A	 841.87	10	HYPOTHETICAL PROTEIN (FRAGMENT)
Rv0750		Rv0750	 842.03	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0756c		Rv0756c	 851.47	10	HYPOTHETICAL PROTEIN
Rv0759c		Rv0759c	 854.16	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0760c		Rv0760c	 854.69	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0762c		Rv0762c	 856.47	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0767c		Rv0767c	 860.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0775		Rv0775	 868.41	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0776c		Rv0776c	 869.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0784		Rv0784	 878.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0785		Rv0785	 879.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0786c		Rv0786c	 881.46	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0787		Rv0787	 881.46	10	HYPOTHETICAL PROTEIN
Rv0787A		Rv0787A	 882.52	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0789c		Rv0789c	 884.05	10	HYPOTHETICAL PROTEIN
Rv0790c		Rv0790c	 884.80	10	HYPOTHETICAL PROTEIN
Rv0791c		Rv0791c	 885.84	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0793		Rv0793	 886.72	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0799c		Rv0799c	 893.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0801		Rv0801	 894.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0802c		Rv0802c	 895.63	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv0804		Rv0804	 898.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0805		Rv0805	 898.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0807		Rv0807	 901.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0810c		Rv0810c	 905.09	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0811c		Rv0811c	 906.34	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0813c		Rv0813c	 908.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0822c		Rv0822c	 916.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0825c		Rv0825c	 919.55	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0826		Rv0826	 919.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0830		Rv0830	 921.97	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0831c		Rv0831c	 923.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0836c		Rv0836c	 932.93	10	HYPOTHETICAL PROTEIN
Rv0837c		Rv0837c	 934.03	10	HYPOTHETICAL PROTEIN
Rv0839		Rv0839	 935.58	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0854		Rv0854	 951.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0856		Rv0856	 952.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0857		Rv0857	 953.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0862c		Rv0862c	 962.61	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0863		Rv0863	 962.60	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0874c		Rv0874c	 973.71	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0877		Rv0877	 976.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0883c		Rv0883c	 981.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0885		Rv0885	 982.76	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0887c		Rv0887c	 985.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0893c		Rv0893c	 996.29	10	Conserved hypothetical protein. Possible S-adenosylmethionine-dependent methyltransferase.
Rv0895		Rv0895	 997.78	10	CONSERVED HYPOTHETICAL PROTEIN. POSSIBLE TRIACYLGLYCEROL SYNTHASE (DIACYLGLYCEROL ACYLTRANSFERASE).
Rv0898c		Rv0898c	1002.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0906		Rv0906	1008.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0909		Rv0909	1014.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0910		Rv0910	1014.87	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0911		Rv0911	1015.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0918		Rv0918	1024.21	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0919		Rv0919	1024.68	10	GCN5-RELATED N-ACETYLTRANSFERASE
Rv0923c		Rv0923c	1030.58	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0925c		Rv0925c	1032.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0926c		Rv0926c	1033.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0937c		Rv0937c	1046.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0941c		Rv0941c	1052.32	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0942		Rv0942	1052.36	10	HYPOTHETICAL PROTEIN
Rv0948c		Rv0948c	1057.96	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0950c		Rv0950c	1061.65	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0959		Rv0959	1071.26	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0963c		Rv0963c	1076.10	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0964c		Rv0964c	1076.68	10	HYPOTHETICAL PROTEIN
Rv0965c		Rv0965c	1077.20	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0966c		Rv0966c	1077.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0967		Rv0967	1077.97	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0968		Rv0968	1078.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0976c		Rv0976c	1090.18	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0979c		Rv0979c	1094.86	10	HYPOTHETICAL PROTEIN
Rv0990c		Rv0990c	1108.10	10	HYPOTHETICAL PROTEIN
Rv0991c		Rv0991c	1108.50	10	CONSERVED HYPOTHETICAL SERINE RICH PROTEIN
Rv0992c		Rv0992c	1109.17	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0997		Rv0997	1114.29	10	HYPOTHETICAL PROTEIN
Rv0998		Rv0998	1114.75	10	CONSERVED HYPOTHETICAL PROTEIN
Rv0999		Rv0999	1115.77	10	HYPOTHETICAL PROTEIN
Rv1000c		Rv1000c	1117.15	10	CONSERVED HYPOTHETICAL PROTEIN. THOUGHT TO BE REGULATED BY Rv2720|LEXA.
Rv1003		Rv1003	1120.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1006		Rv1006	1123.71	10	HYPOTHETICAL PROTEIN
Rv1012		Rv1012	1131.13	10	HYPOTHETICAL PROTEIN
Rv1021		Rv1021	1142.67	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1025		Rv1025	1146.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1043c		Rv1043c	1166.81	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1044		Rv1044	1167.05	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1045		Rv1045	1167.67	10	HYPOTHETICAL PROTEIN
Rv1048c		Rv1048c	1172.15	10	HYPOTHETICAL PROTEIN
Rv1051c		Rv1051c	1174.70	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1052		Rv1052	1175.72	10	HYPOTHETICAL PROTEIN
Rv1053c		Rv1053c	1176.29	10	HYPOTHETICAL PROTEIN
Rv1056		Rv1056	1177.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1057		Rv1057	1179.40	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1059		Rv1059	1182.39	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1060		Rv1060	1183.51	10	HYPOTHETICAL PROTEIN
Rv1061		Rv1061	1184.02	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1062		Rv1062	1184.88	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1063c		Rv1063c	1186.82	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1065		Rv1065	1187.44	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1066		Rv1066	1188.00	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1069c		Rv1069c	1194.27	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1073		Rv1073	1197.23	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1083		Rv1083	1207.38	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1084		Rv1084	1207.64	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1099c		Rv1099c	1228.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1100		Rv1100	1228.68	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1109c		Rv1109c	1236.09	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1111c		Rv1111c	1238.19	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1112		Rv1112	1238.26	10	Probable GTP binding protein
Rv1116		Rv1116	1241.00	10	HYPOTHETICAL PROTEIN
Rv1116A		Rv1116A	1241.39	10	CONSERVED HYPOTHETICAL PROTEIN (FRAGMENT)
Rv1117		Rv1117	1241.63	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1118c		Rv1118c	1242.83	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1119c		Rv1119c	1243.01	10	HYPOTHETICAL PROTEIN
Rv1120c		Rv1120c	1243.50	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1125		Rv1125	1248.08	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1126c		Rv1126c	1249.94	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1130		Rv1130	1254.56	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1134		Rv1134	1261.92	10	HYPOTHETICAL PROTEIN
Rv1137c		Rv1137c	1265.45	10	HYPOTHETICAL PROTEIN
Rv1147		Rv1147	1274.90	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1154c		Rv1154c	1281.48	10	HYPOTHETICAL PROTEIN
Rv1155		Rv1155	1281.43	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1156		Rv1156	1282.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1157c		Rv1157c	1284.17	10	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN
Rv1158c		Rv1158c	1284.86	10	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN
Rv1159A		Rv1159A	1286.57	10	HYPOTHETICAL PROTEIN
Rv1171		Rv1171	1301.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1176c		Rv1176c	1308.79	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1179c		Rv1179c	1313.30	10	HYPOTHETICAL PROTEIN
Rv1186c		Rv1186c	1329.31	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1190		Rv1190	1332.98	10	CONSERVED HYPOTHETICAL PROTEIN
Rv1191		Rv1191	1333.93	10	CONSERVED HYPOTHETICAL PROTEIN
